Franklin-Paxinos Full name,Franklin-Paxinos abbreviation,Structural ID,structure Order,red,green,blue,Parent ID,Parent abbreviation,Allen Full name,Allen abbreviation,,,
Periventricular zone,PVZ,157,70100,255,76,80,1097,HY,Periventricular zone,PVZ,,,
Supraoptic nucleus,SO,390,70200,255,76,60,157,PVZ,Supraoptic nucleus,SO,,,
"Supraoptic nucleus, retrochiasmatic part",SOR,2051,70210,255,76,60,390,SO,,,,,
Episupraoptic nucleus,ESO,2034,70220,255,76,60,390,SO,,,,,
Accessory supraoptic group,ASO,332,70300,255,76,62,157,PVZ,Accessory supraoptic group,ASO,,,
Circulur nucleus,Cir,432,70400,255,76,62,332,ASO,Nucleus circularis,NC,,,
"Paraventricular thalamic nucleus, anterior part",PVA,38,70500,255,76,77,157,PVZ,Paraventricular hypothalamic nucleus,PVH,,,
"Paraventricular hypothalamic nucleus, magnocellular division",PVAm,71,70600,255,76,76,38,PVA,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",PVHam,,,
"Paraventricular hypothalamic nucleus, medial magnocellular part",PaMM,79,70800,255,76,74,71,PVAm,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",PVHmm,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,,,
"Paraventricular hypothalamic nucleus, lateral magnocellular part",PaLM,652,71000,255,76,73,71,PVAm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",PVHpml,,,
"Paraventricular hypothalamic nucleus, posterior part",PaPo,660,71100,255,76,73,71,PVAm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",PVHpmm,,,
"Paraventricular hypothalamic nucleus, parvicellular division",PVAp,94,71200,255,76,72,38,PVA,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,,,
"Paraventricular hypothalamic nucleus, anterior parivcellular part",PaAP,55,71300,255,76,69,94,PVAp,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",PVHap,,,
Anterior perifornical nucleus,APF,2026,71310,255,76,69,55,PaAP,,,,,
"Paraventricular hypothalamic nucleus, medial parvicellular part",PaMP,87,71400,255,76,71,94,PVAp,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",PVHmpd,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",PVHpv,,,
"Paraventricular hypothalamic nucleus, ventral part",PaV,30,71600,255,76,78,157,PVZ,"Periventricular hypothalamic nucleus, anterior part",PVa,,,
,,,,,,,,,"Periventricular hypothalamic nucleus, intermediate part",PVi,,,
Arcuate hypothalamic nucleus,Arc,223,71800,255,76,79,157,PVZ,Arcuate hypothalamic nucleus,ARH,,,
"Arcuate hypothalamic nucleus, dorsal part",ArcD,2061,71810,255,76,79,223,Arc,,,,,
"Arcuate hypothalamic nucleus, lateral part",ArcL,2062,71820,255,76,79,223,Arc,,,,,
"Arcuate hypothalamic nucleus, lateroposterior part",ArcLP,2104,71830,255,76,79,223,Arc,,,,,
"Arcuate hypothalamic nucleus, medial part",ArcM,2095,71840,255,76,79,223,Arc,,,,,
"Arcuate hypothalamic nucleus, medial posterior part",ArcMP,2103,71850,255,76,79,223,Arc,,,,,
Periventricular region,PVR,141,71900,255,77,80,1097,HY,Periventricular region,PVR,,,
,,,,,,,,,Anterodorsal preoptic nucleus,ADP,,,
,,,,,,,,,Anterior hypothalamic area,AHA,,,
,,,,,,,,,Anteroventral preoptic nucleus,AVP,,,
Anteroventral periventricular nucleus,AVPe,272,72300,255,77,84,141,PVR,Anteroventral periventricular nucleus,AVPV,,,
Dorsomedial hypothalamic nucleus,DM,830,72400,255,77,85,141,PVR,Dorsomedial nucleus of the hypothalamus,DMH,,,
"Dorsomedial hypothalamic nucleus, dorsal part",DMD,2076,72500,255,77,85,830,DM,"Dorsomedial nucleus of the hypothalamus, anterior part",DMHa,,,
"Dorsomedial hypothalamic nucleus, compact part",DMC,2077,72600,255,77,85,830,DM,"Dorsomedial nucleus of the hypothalamus, posterior part",DMHp,,,
"Dorsomedial hypothalamic nucleus, ventral part",DMV,2078,72700,255,77,85,830,DM,"Dorsomedial nucleus of the hypothalamus, ventral part",DMHv,,,
"Dorsomedial nucleus of the hypothalamus, anterior part",DMHa,668,72710,255,77,85,467,MEZ ,Posterior hypothalamic nucleus,PH,,,
Median preoptic nucleus,MnPO,452,72800,255,77,86,141,PVR,Median preoptic nucleus,MEPO,,,
DA14 Dopamine Cells,DA14,2307,72810,255,77,86,141,PVR,,,,,
Medial preoptic area,MPA,523,72900,255,77,87,141,PVR,Medial preoptic area,MPO,,,
Strial part of the preoptic area,StA,2016,72910,255,77,87,523,MPA,,,,,
Striohypothalamic nucleus,StHy,2023,72920,255,77,87,523,MPA,,,,,
Anterior commissural nucleus,AC,2306,72930,255,77,87,523,MPA,,,,,
Vascular organ of the lamina terminalis,VOLT,763,73000,255,77,88,141,PVR,Vascular organ of the lamina terminalis,OV,,,
Posterodorsal preoptic nucleus,PDPO,914,73100,255,77,89,141,PVR,Posterodorsal preoptic nucleus,PD,,,
Parastrial nucleus,PS,1109,73200,255,77,90,141,PVR,Parastrial nucleus,PS,,,
,,,,,,,,,Suprachiasmatic preoptic nucleus,PSCH,,,
,,,,,,,,,"Periventricular hypothalamic nucleus, posterior part",PVp,,,
Periventricular hypothalamic nucleus,Pe,133,73500,255,77,93,141,PVR,"Periventricular hypothalamic nucleus, preoptic part",PVpo,,,
Subparaventricular zone of the hypothalamus,SPa ,347,73600,255,77,80,141,PVR,Subparaventricular zone,SBPV,,,
Suprachiasmatic nucleus,SCh,286,73700,255,77,94,141,PVR,Suprachiasmatic nucleus,SCH,,,
"Suprachiasmatic nucleus, dorsolateral part",SChDL,2030,73710,255,77,94,286,SCh,,,,,
"Suprachiasmatic nucleus, ventromedial part",SChVM,2031,73720,255,77,94,286,SCh,,,,,
Subfornical organ,SFO,338,73800,255,77,80,141,PVR,Subfornical organ,SFO,,,
Ventromedidal preoptic nucleus,VMPO,2011,73810,255,77,80,141,PVR,,,,,
Ventrolateral preoptic nucleus,VLPO,689,73900,255,77,80,141,PVR,Ventrolateral preoptic nucleus,VLPO,,,
Hypothalamic medial zone,MEZ ,467,74000,255,78,80,1097,HY,Hypothalamic medial zone,MEZ ,,,
Anterior hypothalamic nucleus,AHN,88,74100,255,78,81,467,MEZ ,Anterior hypothalamic nucleus,AHN,,,
"Anterior hypothalamic area, anterior part",AHA,700,74200,255,78,81,88,AHN,"Anterior hypothalamic nucleus, anterior part",AHNa,,,
"Anterior hypothalamic area, central part",AHC,708,74300,255,78,81,88,AHN,"Anterior hypothalamic nucleus, central part",AHNc,,,
,,,,,,,,,"Anterior hypothalamic nucleus, dorsal part",AHNd,,,
"Anterior hypothalamic area, posterior part",AHP,724,74500,255,78,81,88,AHN,"Anterior hypothalamic nucleus, posterior part",AHNp,,,
Lateroanterior hypothalamic nucleus,LA,2029,74510,255,78,81,88,AHN,,,,,
Stigmoid hypothalamic nucleus,Stg,2047,74520,255,78,81,724,AHP,,,,,
Mammillary body,MBO,331,74600,255,78,82,467,MEZ ,Mammillary body,MBO,,,
Lateral mamilllary nucleus,LM,210,74700,255,78,83,331,MBO,Lateral mammillary nucleus,LM,,,
"Medial mammillary nucleus, medial part",MM,491,74800,255,78,84,331,MBO,Medial mammillary nucleus,MM,,,
Mammillary recess of the 3rd ventricle,MRe,2118,74810,255,78,84,491,MM,,,,,
"Medial mammillary nucleus, lateral part",ML,2119,74820,255,78,84,491,MM,,,,,
"Medial mammillary nucleus, median part",MnM,732,74900,255,78,84,491,MM,"Medial mammillary nucleus, median part",Mmme,,,
Retromamillary nucleus,RM,525,75000,255,78,85,331,MBO,Supramammillary nucleus,SUM ,,,
"Retromamillary nucleus, lateral part",RML,1110,75100,255,78,85,525,RM,"Supramammillary nucleus, lateral part",SUMl,,,
"Retromamillary nucleus, medial part",RMM,1118,75200,255,78,85,525,RM,"Supramammillary nucleus, medial part",SUMm,,,
Tuberomammillary nucleus,TM,557,75300,255,78,86,331,MBO,Tuberomammillary nucleus,TM,,,
Dorsal tuberomammillary nucleus,DTM,1126,75400,255,78,86,557,TM,"Tuberomammillary nucleus, dorsal part",TMd,,,
Ventral tuberomammillary nucleus,VTM,1,75500,255,78,86,557,TM,"Tuberomammillary nucleus, ventral part",TMv,,,
Medial preoptic nucleus,MPO,515,75600,255,78,87,467,MEZ ,Medial preoptic nucleus,MPN,,,
,,,,,,,,,"Medial preoptic nucleus, central part",MPNc,,,
"Medial preoptic nucleus, lateral part",MPOL,748,75800,255,78,87,515,MPO,"Medial preoptic nucleus, lateral part",MPNl,,,
"Medial preoptic nucleus, medial part",MPOM,756,75900,255,78,87,515,MPO,"Medial preoptic nucleus, medial part",MPNm,,,
"Premamillary nucleus, dorsal part",PMD,980,76000,255,78,88,467,MEZ ,Dorsal premammillary nucleus,PMd,,,
"Premamillary nucleus, ventral part",PMV,1004,76100,255,78,89,467,MEZ ,Ventral premammillary nucleus,PMv,,,
"Paraventricular hypothalamic nucleus, descending division",PVHd,63,76200,255,78,90,467,MEZ ,"Paraventricular hypothalamic nucleus, descending division",PVHd,,,
"Paraventricular hypothalamic nucleus, dorsal cap",PaDC,439,76300,255,78,90,63,PVHd,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",PVHdp,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, descending division, forniceal part",PVHf,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",PVHlp,,,
,,,,,,,,,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone",PVHmpv,,,
Ventromedial hypothalamic nucleus,VMH,693,76700,255,78,91,467,MEZ ,Ventromedial hypothalamic nucleus,VMH,,,
"Ventromedial hypothalamic nucleus, shell region",VMHSh,2044,76710,255,78,91,693,VMH,,,,,
,,,,,,,,,"Ventromedial hypothalamic nucleus, anterior part",VMHa,,,
"Ventromedial hypothalamic nucleus, central part",VMHC,769,76900,255,78,91,693,VMH,"Ventromedial hypothalamic nucleus, central part",VMHc,,,
"Ventromedial hypothalamic nucleus, dorsomedial part",VMHDM,777,77000,255,78,91,693,VMH,"Ventromedial hypothalamic nucleus, dorsomedial part",VMHdm,,,
"Ventromedial hypothalamic nucleus, ventrolateral part",VMHVL,785,77100,255,78,91,693,VMH,"Ventromedial hypothalamic nucleus, ventrolateral part",VMHvl,,,
Posterior hypothalamic area,PHA,2474,77110,255,78,91,467,MEZ ,Posterior hypothalamic area,PHA,,,
Posterior hypothalamic nucleus,PH,946,77150,255,79,83,2474,PHA,Posterior hypothalamic nucleus,PH,,,
"Posterior hypothalamic nucleus, dorsal part",PHnd,2364,77160,255,79,83,946,PH,"Posterior hypothalamic nucleus, dorsal part",PHnd,,,
"Posterior hypothalamic nucleus, ventral part",PHnv,2365,77170,255,79,83,946,PH,"Posterior hypothalamic nucleus, ventral part",PHnv,,,
"Posterior hypothalamic area, dorsal part",PHD,2075,77180,255,79,83,946,PH,,,,,
Submammillothalamic nucleus,SMT,2102,77190,255,79,83,946,PH,,,,,
Hypothalamic lateral zone,LZ,290,77200,255,79,80,1097,HY,Hypothalamic lateral zone,LZ,,,
Lateral hypothalamic area,LH,194,77300,255,79,81,290,LZ,,,,,
Juxtaparaventricular part of lateral hypothalamus,JPLH,2309,77300,255,79,81,194,LH,Lateral hypothalamic area,LHA,,,
Magnocellular nucleus of the lateral hypothalamus,MCLH,2065,77310,255,79,81,194,LH,,,,,
Ventrolateral hypothalamic nucleus ,VLH,2033,77320,255,79,81,194,LH,,,,,
Gemini hypothalamic nucleus,Gem,2105,77330,255,79,81,194,LH,,,,,
Peduncular lateral hypothalamus,PLH,2081,77340,255,79,81,194,LH,,,,,
Tuberal region of lateral hypothalamus,TuLH,2048,77350,255,79,81,194,LH,,,,,
Perifornical part of lateral hypothalamus,PeFLH,2473,77360,255,79,81,194,LH,,,,,
Lateral preoptic area,LPO,226,77400,255,79,82,290,LZ,Lateral preoptic area,LPO,,,
,,,,,,,,,Preparasubthalamic nucleus,PST,,,
Paraterete nucleus,PTe,2379,77610,255,79,80,290,LZ,,,,,
Parasubthalamic nucleus,PSTh,364,77700,255,79,80,290,LZ,Parasubthalamic nucleus,PSTN,,,
Retrochiasmatic area,RCh,173,77800,255,79,84,290,LZ,Retrochiasmatic area,RCH,,,
"Retrochiasmatic area, lateral part",RchL,2042,77810,255,79,84,173,RCh,,,,,
"Retrochiasmatic area, medial part",RchM,2283,77820,255,79,84,173,RCh,,,,,
Subthalamic nucleus,STh,470,77900,255,79,85,290,LZ,Subthalamic nucleus,STN,,,
Subincertal nucleus,SubI,2063,77910,255,79,85,290,LZ,,,,,
Medial tuberal nucleus,MTu,614,78000,255,79,86,290,LZ,Tuberal nucleus,TU,,,
Terete hypothalamic nucleus,Te,2080,78010,255,79,86,614,MTu,,,,,
Perifornical nucleus,PeF,2079,78020,255,79,86,290,LZ,,,,,
Ventral linear nucleus of the thalamus,VLi,2111,78030,255,79,87,290,LZ,,,,,
Zona incerta,ZI,797,78100,255,79,87,290,LZ,Zona incerta,ZI,,,
"Zona incerta, caudal part",ZIC,2125,78110,255,79,87,797,ZI,,,,,
"Zona incerta, rostral part",ZIR,2043,78120,255,79,87,797,ZI,,,,,
"Zona incerta, dosal part",ZID,2053,78130,255,79,87,797,ZI,,,,,
"Zona incerta, ventral part",ZIV,2054,78140,255,79,87,797,ZI,,,,,
DA13 dopamine cells,DA13,796,78200,255,79,87,797,ZI,Dopaminergic A13 group,A13,,,
Nucleus of the fields of Forel,F,2110,78300,255,79,87,797,ZI,Fields of Forel,FF,,,
Median eminence,ME,10671,78400,255,80,80,1097,HY,Median eminence,ME,,,
Midbrain,MB,313,78500,255,200,255,343,BS,Midbrain,MB,,,
Prerubral field,PR,2107,78510,255,200,255,313,MB,,,,,
"Midbrain, sensory related",MBsen,339,78600,255,176,254,313,MB,"Midbrain, sensory related",MBsen,,,
Superior colliculus,SC,2476,78610,255,176,254,339,MBsen,,,,,
"Superior colliculus, sensory related",SCs,302,78700,255,152,250,2476,SC,"Superior colliculus, sensory related",SCs,,,
Optic layer of the superior colliculus,Op,851,78800,255,152,250,302,SCs,"Superior colliculus, optic layer",SCop,,,
Superficial gray layer of the superior colliculus,SuG,842,78900,255,152,250,302,SCs,"Superior colliculus, superficial gray layer",SCsg,,,
Zonal layer of superior colliculus,Zo,834,79000,255,152,250,302,SCs,"Superior colliculus, zonal layer",SCzo,,,
Inferior colliculus,IC,4,79100,255,152,255,339,MBsen,Inferior colliculus,IC,,,
Central nucleus of the inferior colliculus,CIC,811,79200,255,152,255,4,IC,"Inferior colliculus, central nucleus",ICc,,,
Dorsal cortex of the inferior colliculus,DCIC,820,79300,255,152,255,4,IC,"Inferior colliculus, dorsal nucleus",ICd,,,
External cortex of the inferior colliculus,ECIC,828,79400,255,152,255,4,IC,"Inferior colliculus, external nucleus",ICe,,,
"External cortex of the inferior colliculus, layer 1",ECIC1,2188,79410,255,152,255,828,ECIC,,,,,
"External cortex of the inferior colliculus, layer 2",ECIC2,2189,79420,255,152,255,828,ECIC,,,,,
"External cortex of the inferior colliculus, layer 3",ECIC3,2190,79430,255,152,255,828,ECIC,,,,,
Commissural nucleus of the inferior colliculus,Com,2457,79440,255,152,255,4,IC,,,,,
Recess of the inferior colliculus,ReIC,2475,79450,255,152,255,4,IC,,,,,
Nucleus of the brachium of the inferior colliculus,BIC,580,79500,255,152,253,339,MBsen,Nucleus of the brachium of the inferior colliculus,NB,,,
Sagulum nucleus,Sag,271,79600,255,152,251,339,MBsen,Nucleus sagulum,SAG,,,
Parabigeminal nucleus,PBG,874,79700,255,152,252,339,MBsen,Parabigeminal nucleus,PBG,,,
Microcellular tegmental nucleus,MiTg,2163,79710,255,152,252,339,MBsen,,,,,
Mesencephalic trigeminal nucleus,Me5,460,79800,255,152,254,339,MBsen,Midbrain trigeminal nucleus,MEV,,,
Subcommissural organ ,SCO,2108,79810,255,152,254,339,MBsen,,,,,
"Midbrain, motor related",MBmot,323,79900,255,132,255,313,MB,"Midbrain, motor related",MBmot,,,
Mesencephalic reticular formation,mRt,2147,79910,255,132,255,323,MBmot,,,,,
prosomere 1 reticular formation,p1Rt,2131,79920,255,132,255,323,MBmot,,,,,
Isthmic reticular formation,isRt,2181,79930,255,132,255,323,MBmot,,,,,
Pararubral nucleus,PaR,2154,79940,255,132,255,323,MBmot,,,,,
"Substantia nigra, reticular part",SNR,381,80000,255,178,247,323,MBmot,"Substantia nigra, reticular part",SNr,,,
Ventral tegmental area,VTA,749,80100,255,178,246,323,MBmot,Ventral tegmental area,VTA,,,
Paranigral nucleus of the VTA,PN,2138,80110,255,178,246,749,VTA,,,,,
Parainterfascicular nucleus of the VTA,PIF,2144,80120,255,178,246,749,VTA,,,,,
Parabranchial pigmented nucleus of the VTA,PBP,2124,80130,255,178,246,749,VTA,,,,,
"Ventral tegmental area, rostral part",VTAR,2427,80140,255,178,246,749,VTA,,,,,
Rostral interstitial nucleus of the medial longitudinal fasciculus,RI,2112,80150,255,178,246,323,MBmot,,,,,
DA11 dopamine cells,DA11,2101,80160,255,178,246,323,MBmot,,,,,
Retroisthmic nucleus,RIs,246,80200,255,178,249,323,MBmot,"Midbrain reticular nucleus, retrorubral area",RR,,,
Retrorubral field,RRF,2153,80210,255,178,249,246,RIs,,,,,
,,,,,,,,,Midbrain reticular nucleus,MRN,,,
,,,,,,,,,"Midbrain reticular nucleus, magnocellular part",MRNm,,,
,,,,,,,,,"Midbrain reticular nucleus, magnocellular part, general",MRNmg,,,
,,,,,,,,,"Midbrain reticular nucleus, parvicellular part",MRNp,,,
"Superior colliculus, motor related",SCm,294,80700,255,178,248,2476,SC,"Superior colliculus, motor related",SCm,,,
Deep gray layer of the superior colliculus,DpG,26,80800,255,178,248,294,SCm,"Superior colliculus, motor related, deep gray layer",SCdg,,,
Deep white layer of the superior colliculus,DpWh,42,80900,255,178,248,294,SCm,"Superior colliculus, motor related, deep white layer",SCdw,,,
Intermediate white layer of the superior colliculus,InWh,17,81000,255,178,248,294,SCm,"Superior colliculus, motor related, intermediate white layer",SCiw,,,
Intermediate gray layer of the superior colliculus,InG,10,81100,255,178,248,294,SCm,"Superior colliculus, motor related, intermediate gray layer",SCig,,,
,,,,,,,,,"Superior colliculus, motor related, intermediate gray layer, sublayer a",SCig-a,,,
,,,,,,,,,"Superior colliculus, motor related, intermediate gray layer, sublayer b",SCig-b,,,
,,,,,,,,,"Superior colliculus, motor related, intermediate gray layer, sublayer c",SCig-c,,,
Periaqueductal gray,PAG,795,81500,255,144,255,323,MBmot,Periaqueductal gray,PAG,,,
Dorsomedial periaqueductal gray,DMPAG,2141,81510,255,144,255,795,PAG,,,,,
Lateral periaqueductal gray,LPAG,2142,81520,255,144,255,795,PAG,,,,,
Pleoglial periaqueductal gray,PlPAG,2143,81530,255,144,255,795,PAG,,,,,
Dorsolateral periaqueductal gray,DLPAG,2148,81540,255,144,255,795,PAG,,,,,
Ventrolateral periaqueductal gray,VLPAG,2162,81550,255,144,255,795,PAG,,,,,
prosomere 1 periaqueductal gray,p1PAG,2114,81560,255,144,255,795,PAG,,,,,
Lithoid nucleus,Lth,2123,81570,255,144,255,323,MBmot,,,,,
Precommissural nucleus,PrC,50,81600,255,144,255,323,MBmot,Precommissural nucleus,PRC,,,
Interstitial nucleus of Cajal,InC,67,81700,255,145,255,323,MBmot,Interstitial nucleus of Cajal,INC,,,
"Interstitial nucleus of Cajal, shell region",InCSh,2129,81710,255,145,255,67,InC,,,,,
Nucleus of Darkschewitsch,Dk,587,81800,255,146,255,323,MBmot,Nucleus of Darkschewitsch,ND,,,
Supraoculomotor cap,Su3C,2152,81810,255,146,255,323,MBmot,,,,,
Supraoculomotor periaqueductal gray,Su3,2156,81820,255,146,255,323,MBmot,,,,,
Pretectal region,PRT,1100,81900,255,176,250,323,MBmot,Pretectal region,PRT,,,
Anterior pretectal nucleus,APT,215,82000,255,176,249,1100,PRT,Anterior pretectal nucleus,APN,,,
"Anterior pretectal nucleus, dorsal part",APTD,2099,82010,255,176,249,215,APT,,,,,
"Anterior pretectal nucleus, ventral part",APTV,2100,82020,255,176,249,215,APT,,,,,
Medial pretectal area,MPT,531,82100,255,176,248,1100,PRT,Medial pretectal area,MPT,,,
Retrocommissural nucleus,ReC,2415,82110,255,176,248,1100,PRT,,,,,
Nucleus of the optic tract,OT,628,82200,255,176,247,1100,PRT,Nucleus of the optic tract,NOT,,,
Nucleus of the posterior commissure,PCom,634,82300,255,176,246,1100,PRT,Nucleus of the posterior commissure,NPC,,,
Magnocellular nucleus of the posterior commissure,MCPC,2121,82310,255,176,246,634,PCom,,,,,
Olivary pretectal nucleus,OPT,706,82400,255,176,245,1100,PRT,Olivary pretectal nucleus,OP,,,
Posterior pretectal nucleus,PPT,1061,82500,255,176,244,1100,PRT,Posterior pretectal nucleus,PPT,,,
Retroparafascicular nucleus,RPF,2122,82510,255,176,244,1100,PRT,,,,,
Cuneiform nucleus,CnF,616,82600,255,178,254,323,MBmot,Cuneiform nucleus,CUN,,,
Precuneiform area,PrCnF,2192,82610,255,178,254,616,CnF,,,,,
Red nucleus,R,214,82700,255,134,249,323,MBmot,Red nucleus,RN,,,
"Red nucleus, parvicellular part",RPC,2137,82710,255,134,249,214,R,,,,,
"Red nucleus, magnocellular part",RMC,2139,82720,255,134,249,214,R,,,,,
Medial accessory oculomotor nucleus,MA3,2136,82730,255,168,255,323,MBmot,,,,,
Oculomotor nerve,3N,35,82800,255,168,255,323,MBmot,Oculomotor nucleus,III,,,
"Oculomotor nucleus, parvicellular part",3PC,2157,82810,255,168,255,35,3N,,,,,
Edinger-Westphal nucleus,EW,975,82900,255,178,253,323,MBmot,Edinger-Westphal nucleus,EW,,,
Pre-Edinger-Westphal nucleus,PrEW,2130,82910,255,178,253,975,EW,,,,,
Trochlear nucleus,4N,115,83000,255,178,255,323,MBmot,Trochlear nucleus,IV,,,
Trochlear nucleus shell region,4Sh,2180,83010,255,178,255,115,4N,,,,,
Paratrochlear nucleus,Pa4,2179,83020,255,178,255,115,4N,,,,,
Ventral tegmental nucleus,VTg,757,83100,255,177,250,323,MBmot,Ventral tegmental nucleus,VTN,,,
Anterior tegmental nucleus,ATg,231,83200,255,177,252,323,MBmot,Anterior tegmental nucleus,AT,,,
Rhabdoid nucleus,Rbd,2168,83210,255,177,252,323,MBmot,,,,,
Lateral terminal nucleus of the accessory optic tract,LT,66,83300,255,177,253,323,MBmot,Lateral terminal nucleus of the accessory optic tract,LT,,,
Dorsal terminal nucleus,DT,75,83400,255,177,253,323,MBmot,Dorsal terminal nucleus of the accessory optic tract,DT,,,
Medial terminal nucleus,MT,58,83500,255,177,253,323,MBmot,Medial terminal nucleus of the accessory optic tract,MT,,,
"Substantia nigra, lateral part",SNL,615,83600,255,178,247,323,MBmot,"Substantia nigra, lateral part",SNl,,,
"Midbrain, behavioral state related",MBsta,348,83700,255,176,253,313,MB,"Midbrain, behavioral state related",MBsta,,,
"Substantia nigra, compact part",SNC,374,83800,255,158,248,348,MBsta,"Substantia nigra, compact part",SNc,,,
"Substantia nigra, compact part, dorsal tier",SNCD,2134,83810,255,158,248,374,SNC,,,,,
"Substantia nigra, compact part, medial tier",SNCM,2135,83820,255,158,248,374,SNC,,,,,
Pedunculotegmental nucleus,PTg,1052,83900,255,158,255,348,MBsta,Pedunculopontine nucleus,PPN,,,
Subpeduncular tegmental nucleus,SPTg,2183,83910,255,158,255,1052,PTg,,,,,
Midbrain raphÈ nuclei,RAmb,165,84000,255,158,254,348,MBsta,Midbrain raphÈ nuclei,RAmb,,,
Interfascicular nucleus,IF,12,84100,255,158,251,165,RAmb,Interfascicular nucleus raphÈ,IF,,,
Interpeduncular nucleus,IP,100,84200,255,158,247,165,RAmb,Interpeduncular nucleus,IPN,,,
"Interpeduncular nucleus, rostral subnucleus",IPR,2140,84210,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, lateral subnucleus",IPL,2145,84220,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, caudal subnucleus",IPC,2146,84230,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, dorsomedial subnucleus",IPDM,2149,84240,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, dorsolateral subnucleus",IPDL,2151,84250,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, intermediate subnucleus",IPI,2150,84260,255,158,247,100,IP,,,,,
"Interpeduncular nucleus, apical subnucleus",IPA,2160,84270,255,158,247,100,IP,,,,,
Rostral linear nucleus (midbrain),RLi ,197,84300,255,158,249,165,RAmb,Rostral linear nucleus raphÈ,RL,,,
Caudal linear nucleus of the raphÈ,CLi,591,84400,255,158,253,165,RAmb,Central linear nucleus raphÈ,CLI,,,
Dorsal raphÈ nucleus,DR,872,84500,255,158,252,165,RAmb,Dorsal nucleus raphÈ,DR,,,
"Dorsal raphÈ nucleus, caudal part",DRC,2173,84510,255,158,252,872,DR,,,,,
"Dorsal raphÈ nucleus, dorsal part",DRD,2174,84520,255,158,252,872,DR,,,,,
Dorsal raphÈ interfascicular part,DRI,2175,84530,255,158,252,872,DR,,,,,
"Dorsal raphÈ nucleus, lateral part",DRL,2176,84540,255,158,252,872,DR,,,,,
"Dorsal raphÈ nucleus, ventral part",DRV,2177,84550,255,158,252,872,DR,,,,,
Posterodorsal raphÈ nucleus,PDR,2178,84560,255,158,252,872,DR,,,,,
Hindbrain,HB,1065,84600,255,155,168,343,BS,Hindbrain,HB,,,
Pons,P,771,84700,255,155,136,1065,HB,Pons,P,,,
"Pons, sensory related",P-sen,1132,84800,255,170,98,771,P,"Pons, sensory related",P-sen,,,
Paralemniscal nucleus,PL,612,84900,255,170,97,1132,P-sen,Nucleus of the lateral lemniscus,NLL,,,
Dorsal nucleus of the lateral lemniscus,DLL,82,85000,255,170,97,612,PL,"Nucleus of the lateral lemniscus, dorsal part",NLLd,,,
,,,,,,,,,"Nucleus of the lateral lemniscus, horizontal part",NLLh,,,
Ventral nucleus of the lateral lemniscus,VLL,99,85200,255,170,97,612,PL,"Nucleus of the lateral lemniscus, ventral part",NLLv,,,
Intermediate nucleus of the lateral lemniscus,ILL,2172,85210,255,170,97,612,PL,,,,,
"Triangular nucleus, lateral lemniscus",TrLL,2184,85220,255,170,97,612,PL,,,,,
Principal sensory trigeminal nucleus,Pr5,7,85300,255,170,95,1132,P-sen,Principal sensory nucleus of the trigeminal,PSV,,,
"Principal sensory trigeminal nucleus, dorsomedial part",Pr5DM,2203,85310,255,170,95,7,Pr5,,,,,
"Principal sensory trigeminal nucleus, ventrolateral part",Pr5VL,2202,85320,255,170,95,7,Pr5,,,,,
Parabrachial nucleus,PB,867,85400,255,170,96,1132,P-sen,Parabrachial nucleus,PB,,,
Kolliker-Fuse nucleus,KF,123,85500,255,165,96,867,PB,Kolliker-Fuse subnucleus,KF,,,
Lateral parabrachial nucleus,LPB,881,85600,255,169,96,867,PB,"Parabrachial nucleus, lateral division",PBl,,,
"Lateral parabrachial nucleus, central part",LPBC,860,85700,255,169,96,881,LPB,"Parabrachial nucleus, lateral division, central lateral part",PBlc,,,
"Lateral parabrachial nucleus, crescent part",LPBCr,2458,85710,255,169,96,881,LPB,,,,,
"Lateral parabrachial nucleus, dorsal part",LPBD,868,85800,255,169,96,881,LPB,"Parabrachial nucleus, lateral division, dorsal lateral part",PBld,,,
"Lateral parabrachial nucleus, external part",LPBE,875,85900,255,169,96,881,LPB,"Parabrachial nucleus, lateral division, external lateral part",PBle,,,
